Config,Rounds,#Agents,Prompt,Model own,Model other agents,Temperature self,Initial Preference,Initial Preference Name,Final Preference,Final Preference Name,Agreement?,Agreed Principle,Agreed Principle Name,Agent Name,File
default_config.yaml,4,5,You are an american college student.,anthropic/claude-sonnet-4,"['anthropic/claude-sonnet-4', 'moonshotai/kimi-k2', 'anthropic/claude-sonnet-4', 'meta-llama/llama-4-maverick']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_1,config_03_results_20250811_035202
default_config.yaml,4,5,You are an american college student.,anthropic/claude-sonnet-4,"['anthropic/claude-sonnet-4', 'moonshotai/kimi-k2', 'anthropic/claude-sonnet-4', 'meta-llama/llama-4-maverick']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_2,config_03_results_20250811_035202
default_config.yaml,4,5,You are an american college student.,moonshotai/kimi-k2,"['anthropic/claude-sonnet-4', 'anthropic/claude-sonnet-4', 'anthropic/claude-sonnet-4', 'meta-llama/llama-4-maverick']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_3,config_03_results_20250811_035202
default_config.yaml,4,5,You are an american college student.,anthropic/claude-sonnet-4,"['anthropic/claude-sonnet-4', 'anthropic/claude-sonnet-4', 'moonshotai/kimi-k2', 'meta-llama/llama-4-maverick']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_4,config_03_results_20250811_035202
default_config.yaml,4,5,You are an american college student.,meta-llama/llama-4-maverick,"['anthropic/claude-sonnet-4', 'anthropic/claude-sonnet-4', 'moonshotai/kimi-k2', 'anthropic/claude-sonnet-4']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_5,config_03_results_20250811_035202
default_config.yaml,4,5,You are an american college student.,openai/gpt-4.1-mini,"['moonshotai/kimi-k2', 'deepseek/deepseek-chat-v3-0324', 'google/gemini-2.5-flash', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_1,config_02_results_20250811_033415
default_config.yaml,4,5,You are an american college student.,moonshotai/kimi-k2,"['openai/gpt-4.1-mini', 'deepseek/deepseek-chat-v3-0324', 'google/gemini-2.5-flash', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_2,config_02_results_20250811_033415
default_config.yaml,4,5,You are an american college student.,deepseek/deepseek-chat-v3-0324,"['openai/gpt-4.1-mini', 'moonshotai/kimi-k2', 'google/gemini-2.5-flash', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_3,config_02_results_20250811_033415
default_config.yaml,4,5,You are an american college student.,google/gemini-2.5-flash,"['openai/gpt-4.1-mini', 'moonshotai/kimi-k2', 'deepseek/deepseek-chat-v3-0324', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_4,config_02_results_20250811_033415
default_config.yaml,4,5,You are an american college student.,google/gemini-2.5-flash,"['openai/gpt-4.1-mini', 'moonshotai/kimi-k2', 'deepseek/deepseek-chat-v3-0324', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_5,config_02_results_20250811_033415
default_config.yaml,4,5,You are an american college student.,qwen/qwen3-coder,"['moonshotai/kimi-k2', 'openai/gpt-4.1-mini', 'moonshotai/kimi-k2', 'anthropic/claude-sonnet-4']",0.0,1,maximizing_floor,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_1,config_06_results_20250811_044906
default_config.yaml,4,5,You are an american college student.,moonshotai/kimi-k2,"['qwen/qwen3-coder', 'openai/gpt-4.1-mini', 'moonshotai/kimi-k2', 'anthropic/claude-sonnet-4']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_2,config_06_results_20250811_044906
default_config.yaml,4,5,You are an american college student.,openai/gpt-4.1-mini,"['qwen/qwen3-coder', 'moonshotai/kimi-k2', 'moonshotai/kimi-k2', 'anthropic/claude-sonnet-4']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_3,config_06_results_20250811_044906
default_config.yaml,4,5,You are an american college student.,moonshotai/kimi-k2,"['qwen/qwen3-coder', 'moonshotai/kimi-k2', 'openai/gpt-4.1-mini', 'anthropic/claude-sonnet-4']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_4,config_06_results_20250811_044906
default_config.yaml,4,5,You are an american college student.,anthropic/claude-sonnet-4,"['qwen/qwen3-coder', 'moonshotai/kimi-k2', 'openai/gpt-4.1-mini', 'moonshotai/kimi-k2']",0.0,3,maximizing_average_floor_constraint,3.0,maximizing_average_floor_constraint,Yes,3.0,maximizing_average_floor_constraint,Agent_5,config_06_results_20250811_044906
default_config.yaml,4,5,You are an american college student.,google/gemini-2.5-pro,"['meta-llama/llama-4-maverick', 'meta-llama/llama-4-maverick', 'google/gemini-2.5-flash', 'x-ai/grok-4']",0.0,3,maximizing_average_floor_constraint,,No vote,No,,,Agent_1,config_09_results_20250811_060515
default_config.yaml,4,5,You are an american college student.,meta-llama/llama-4-maverick,"['google/gemini-2.5-pro', 'meta-llama/llama-4-maverick', 'google/gemini-2.5-flash', 'x-ai/grok-4']",0.0,3,maximizing_average_floor_constraint,,No vote,No,,,Agent_2,config_09_results_20250811_060515
default_config.yaml,4,5,You are an american college student.,meta-llama/llama-4-maverick,"['google/gemini-2.5-pro', 'meta-llama/llama-4-maverick', 'google/gemini-2.5-flash', 'x-ai/grok-4']",0.0,3,maximizing_average_floor_constraint,,No vote,No,,,Agent_3,config_09_results_20250811_060515
default_config.yaml,4,5,You are an american college student.,google/gemini-2.5-flash,"['google/gemini-2.5-pro', 'meta-llama/llama-4-maverick', 'meta-llama/llama-4-maverick', 'x-ai/grok-4']",0.0,3,maximizing_average_floor_constraint,,No vote,No,,,Agent_4,config_09_results_20250811_060515
default_config.yaml,4,5,You are an american college student.,x-ai/grok-4,"['google/gemini-2.5-pro', 'meta-llama/llama-4-maverick', 'meta-llama/llama-4-maverick', 'google/gemini-2.5-flash']",0.0,3,maximizing_average_floor_constraint,,No vote,No,,,Agent_5,config_09_results_20250811_060515
default_config.yaml,4,5,You are an american college student.,anthropic/claude-sonnet-4,"['anthropic/claude-sonnet-4', 'moonshotai/kimi-k2', 'meta-llama/llama-4-maverick', 'moonshotai/kimi-k2']",0.0,3,maximizing_average_floor_constraint,,No vote,No,,,Agent_1,config_04_results_20250811_041856
default_config.yaml,4,5,You are an american college student.,anthropic/claude-sonnet-4,"['anthropic/claude-sonnet-4', 'moonshotai/kimi-k2', 'meta-llama/llama-4-maverick', 'moonshotai/kimi-k2']",0.0,3,maximizing_average_floor_constraint,,No vote,No,,,Agent_2,config_04_results_20250811_041856
default_config.yaml,4,5,You are an american college student.,moonshotai/kimi-k2,"['anthropic/claude-sonnet-4', 'anthropic/claude-sonnet-4', 'meta-llama/llama-4-maverick', 'moonshotai/kimi-k2']",0.0,3,maximizing_average_floor_constraint,,No vote,No,,,Agent_3,config_04_results_20250811_041856
default_config.yaml,4,5,You are an american college student.,meta-llama/llama-4-maverick,"['anthropic/claude-sonnet-4', 'anthropic/claude-sonnet-4', 'moonshotai/kimi-k2', 'moonshotai/kimi-k2']",0.0,3,maximizing_average_floor_constraint,,No vote,No,,,Agent_4,config_04_results_20250811_041856
